track_id,track_name,album_id,genre_id,duration_ms,popularity
4,Call You Mine - Keanu Silva Remix,5,1,169093,60
15,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,16,1,255238,63
25,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,26,1,205093,58
38,Side Effects - Fedde Le Grand Remix,39,1,172360,63
73,Call You Mine,72,1,217653,39
74,Call You Mine,521,1,217653,39
84,Takeaway (feat. Lennon Stella),81,1,209893,67
129,No Sleep (feat. Bonn),110,1,207095,76
153,Home (feat. Bonn),127,1,239067,72
173,Closer (feat. Halsey),135,1,244960,85
179,Scared to Be Lonely,139,1,220883,81
190,Something Just Like This,146,1,247160,83
193,Heroes (we could be),498,1,210013,73
195,Heroes (we could be),6257,1,210013,73
199,Heroes (we could be),16604,1,210013,73
208,Roses,152,1,226739,73
252,Call You Mine - Asketa & Natan Chaim Remix,5,1,183653,58
286,Used To Love (with Dean Lewis),198,1,236765,83
342,These Are The Times (feat. JRM),233,1,188656,71
419,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),292,1,163805,83
474,High On Life (feat. Bonn),326,1,230762,77
478,Burn Out (feat. Dewain Whitmore),330,1,200322,68
487,Glitch,337,1,185161,56
532,In the Name of Love,362,1,195707,80
682,Somebody,488,1,223147,13
683,Somebody,2164,1,223147,13
684,Somebody,16193,1,223147,13
693,Something Just Like This - Alesso Remix,492,1,252933,56
702,Forever,498,1,218437,62
704,Forever,6257,1,218437,62
708,Forever,16604,1,218437,62
714,Don't Let Me Down - Illenium Remix,501,1,218933,64
715,Don't Let Me Down - Illenium Remix,19749,1,218933,64
737,Lions in the Wild,513,1,211890,2
742,Now That I've Found You,517,1,192632,57
746,Family,72,1,194827,85
747,Family,521,1,194827,85
749,Push My Luck,523,1,181844,66
765,Do You Mean (feat. Ty Dolla $ign & bülow),538,1,193176,17
774,Kills You Slowly,545,1,213333,12
782,Mistaken (feat. Alex Aris),549,1,282481,68
804,Paris,565,1,221520,75
841,Who Do You Love,584,1,226747,23
1037,All I Want For Christmas Is You,686,1,242347,18
1094,Barbie Girl,741,1,195040,5
1096,Barbie Girl,2850,1,195040,5
1098,Barbie Girl,5530,1,195040,5
1099,Barbie Girl,5535,1,195040,5
1100,Barbie Girl,5630,1,195040,5
1101,Barbie Girl,5633,1,195040,5
1104,Barbie Girl,6183,1,195040,5
1105,Barbie Girl,6234,1,195040,5
1106,Barbie Girl,6555,1,195040,5
1107,Barbie Girl,6830,1,195040,5
1108,Barbie Girl,6872,1,195040,5
1109,Barbie Girl,8442,1,195040,5
1110,Barbie Girl,8676,1,195040,5
1111,Barbie Girl,8778,1,195040,5
1112,Barbie Girl,9048,1,195040,5
1113,Barbie Girl,9072,1,195040,5
1114,Barbie Girl,9120,1,195040,5
1115,Barbie Girl,9175,1,195040,5
1117,Barbie Girl,9283,1,195040,5
1118,Barbie Girl,9458,1,195040,5
1119,Barbie Girl,9465,1,195040,5
1120,Barbie Girl,9505,1,195040,5
1121,Barbie Girl,9507,1,195040,5
1122,Barbie Girl,9519,1,195040,5
1123,Barbie Girl,9643,1,195040,5
1124,Barbie Girl,9669,1,195040,5
1125,Barbie Girl,9689,1,195040,5
1126,Barbie Girl,9692,1,195040,5
1127,Barbie Girl,9806,1,195040,5
1129,Barbie Girl,10372,1,195040,5
1131,Barbie Girl,10544,1,195040,5
1132,Barbie Girl,10928,1,195040,5
1133,Barbie Girl,11131,1,195040,5
1134,Barbie Girl,11327,1,195040,5
1135,Barbie Girl,11333,1,195040,5
1136,Barbie Girl,11339,1,195040,5
1137,Barbie Girl,11387,1,195040,5
1138,Barbie Girl,11404,1,195040,5
1139,Barbie Girl,12845,1,195040,5
1140,Barbie Girl,12897,1,195040,5
1141,Barbie Girl,12903,1,195040,5
1143,Barbie Girl,14029,1,195040,5
1145,Barbie Girl,15128,1,195040,5
1146,Barbie Girl,16344,1,195040,5
1147,Barbie Girl,16536,1,195040,5
1148,Barbie Girl,16537,1,195040,5
1149,Barbie Girl,16624,1,195040,5
1150,Barbie Girl,16641,1,195040,5
1151,Barbie Girl,16664,1,195040,5
1152,Barbie Girl,16793,1,195040,5
1168,All That She Wants - Remastered,736,1,211213,16
1177,The Sign,741,1,189787,55
1179,The Sign,2850,1,189787,55
1181,The Sign,5530,1,189787,55
1182,The Sign,5535,1,189787,55
1183,The Sign,5630,1,189787,55
1184,The Sign,5633,1,189787,55
1187,The Sign,6183,1,189787,55
1188,The Sign,6234,1,189787,55
1189,The Sign,6555,1,189787,55
1190,The Sign,6830,1,189787,55
1191,The Sign,6872,1,189787,55
1192,The Sign,8442,1,189787,55
1193,The Sign,8676,1,189787,55
1194,The Sign,8778,1,189787,55
1195,The Sign,9048,1,189787,55
1196,The Sign,9072,1,189787,55
1197,The Sign,9120,1,189787,55
1198,The Sign,9175,1,189787,55
1200,The Sign,9283,1,189787,55
1201,The Sign,9458,1,189787,55
1202,The Sign,9465,1,189787,55
1203,The Sign,9505,1,189787,55
1204,The Sign,9507,1,189787,55
1205,The Sign,9519,1,189787,55
1206,The Sign,9643,1,189787,55
1207,The Sign,9669,1,189787,55
1208,The Sign,9689,1,189787,55
1209,The Sign,9692,1,189787,55
1210,The Sign,9806,1,189787,55
1212,The Sign,10372,1,189787,55
1214,The Sign,10544,1,189787,55
1215,The Sign,10928,1,189787,55
1216,The Sign,11131,1,189787,55
1217,The Sign,11327,1,189787,55
1218,The Sign,11333,1,189787,55
1219,The Sign,11339,1,189787,55
1220,The Sign,11387,1,189787,55
1221,The Sign,11404,1,189787,55
1222,The Sign,12845,1,189787,55
1223,The Sign,12897,1,189787,55
1224,The Sign,12903,1,189787,55
1226,The Sign,14029,1,189787,55
1228,The Sign,15128,1,189787,55
1229,The Sign,16344,1,189787,55
1230,The Sign,16536,1,189787,55
1231,The Sign,16537,1,189787,55
1232,The Sign,16624,1,189787,55
1233,The Sign,16641,1,189787,55
1234,The Sign,16664,1,189787,55
1235,The Sign,16793,1,189787,55
1243,Lollipop (Candyman),741,1,215053,0
1245,Lollipop (Candyman),2850,1,215053,0
1247,Lollipop (Candyman),5530,1,215053,0
1248,Lollipop (Candyman),5535,1,215053,0
1249,Lollipop (Candyman),5630,1,215053,0
1250,Lollipop (Candyman),5633,1,215053,0
1253,Lollipop (Candyman),6183,1,215053,0
1254,Lollipop (Candyman),6234,1,215053,0
1255,Lollipop (Candyman),6555,1,215053,0
1256,Lollipop (Candyman),6830,1,215053,0
1257,Lollipop (Candyman),6872,1,215053,0
1258,Lollipop (Candyman),8442,1,215053,0
1259,Lollipop (Candyman),8676,1,215053,0
1260,Lollipop (Candyman),8778,1,215053,0
1261,Lollipop (Candyman),9048,1,215053,0
1262,Lollipop (Candyman),9072,1,215053,0
1263,Lollipop (Candyman),9120,1,215053,0
1264,Lollipop (Candyman),9175,1,215053,0
1266,Lollipop (Candyman),9283,1,215053,0
1267,Lollipop (Candyman),9458,1,215053,0
1268,Lollipop (Candyman),9465,1,215053,0
1269,Lollipop (Candyman),9505,1,215053,0
1270,Lollipop (Candyman),9507,1,215053,0
1271,Lollipop (Candyman),9519,1,215053,0
1272,Lollipop (Candyman),9643,1,215053,0
1273,Lollipop (Candyman),9669,1,215053,0
1274,Lollipop (Candyman),9689,1,215053,0
1275,Lollipop (Candyman),9692,1,215053,0
1276,Lollipop (Candyman),9806,1,215053,0
1278,Lollipop (Candyman),10372,1,215053,0
1280,Lollipop (Candyman),10544,1,215053,0
1281,Lollipop (Candyman),10928,1,215053,0
1282,Lollipop (Candyman),11131,1,215053,0
1283,Lollipop (Candyman),11327,1,215053,0
1284,Lollipop (Candyman),11333,1,215053,0
1285,Lollipop (Candyman),11339,1,215053,0
1286,Lollipop (Candyman),11387,1,215053,0
1287,Lollipop (Candyman),11404,1,215053,0
1288,Lollipop (Candyman),12845,1,215053,0
1289,Lollipop (Candyman),12897,1,215053,0
1290,Lollipop (Candyman),12903,1,215053,0
1292,Lollipop (Candyman),14029,1,215053,0
1294,Lollipop (Candyman),15128,1,215053,0
1295,Lollipop (Candyman),16344,1,215053,0
1296,Lollipop (Candyman),16536,1,215053,0
1297,Lollipop (Candyman),16537,1,215053,0
1298,Lollipop (Candyman),16624,1,215053,0
1299,Lollipop (Candyman),16641,1,215053,0
1300,Lollipop (Candyman),16664,1,215053,0
1301,Lollipop (Candyman),16793,1,215053,0
1325,Sweet Dreams,741,1,204587,62
1327,Sweet Dreams,2850,1,204587,62
1329,Sweet Dreams,5530,1,204587,62
1330,Sweet Dreams,5535,1,204587,62
1331,Sweet Dreams,5630,1,204587,62
1332,Sweet Dreams,5633,1,204587,62
1335,Sweet Dreams,6183,1,204587,62
1336,Sweet Dreams,6234,1,204587,62
1337,Sweet Dreams,6555,1,204587,62
1338,Sweet Dreams,6830,1,204587,62
1339,Sweet Dreams,6872,1,204587,62
1340,Sweet Dreams,8442,1,204587,62
1341,Sweet Dreams,8676,1,204587,62
1342,Sweet Dreams,8778,1,204587,62
1343,Sweet Dreams,9048,1,204587,62
1344,Sweet Dreams,9072,1,204587,62
1345,Sweet Dreams,9120,1,204587,62
1346,Sweet Dreams,9175,1,204587,62
1348,Sweet Dreams,9283,1,204587,62
1349,Sweet Dreams,9458,1,204587,62
1350,Sweet Dreams,9465,1,204587,62
1351,Sweet Dreams,9505,1,204587,62
1352,Sweet Dreams,9507,1,204587,62
1353,Sweet Dreams,9519,1,204587,62
1354,Sweet Dreams,9643,1,204587,62
1355,Sweet Dreams,9669,1,204587,62
1356,Sweet Dreams,9689,1,204587,62
1357,Sweet Dreams,9692,1,204587,62
1358,Sweet Dreams,9806,1,204587,62
1360,Sweet Dreams,10372,1,204587,62
1362,Sweet Dreams,10544,1,204587,62
1363,Sweet Dreams,10928,1,204587,62
1364,Sweet Dreams,11131,1,204587,62
1365,Sweet Dreams,11327,1,204587,62
1366,Sweet Dreams,11333,1,204587,62
1367,Sweet Dreams,11339,1,204587,62
1368,Sweet Dreams,11387,1,204587,62
1369,Sweet Dreams,11404,1,204587,62
1370,Sweet Dreams,12845,1,204587,62
1371,Sweet Dreams,12897,1,204587,62
1372,Sweet Dreams,12903,1,204587,62
1374,Sweet Dreams,14029,1,204587,62
1376,Sweet Dreams,15128,1,204587,62
1377,Sweet Dreams,16344,1,204587,62
1378,Sweet Dreams,16536,1,204587,62
1379,Sweet Dreams,16537,1,204587,62
1380,Sweet Dreams,16624,1,204587,62
1381,Sweet Dreams,16641,1,204587,62
1382,Sweet Dreams,16664,1,204587,62
1383,Sweet Dreams,16793,1,204587,62
1393,Beautiful Life,767,1,219307,4
1408,Around The World,741,1,209120,0
1410,Around The World,2850,1,209120,0
1412,Around The World,5530,1,209120,0
1413,Around The World,5535,1,209120,0
1414,Around The World,5630,1,209120,0
1415,Around The World,5633,1,209120,0
1418,Around The World,6183,1,209120,0
1419,Around The World,6234,1,209120,0
1420,Around The World,6555,1,209120,0
1421,Around The World,6830,1,209120,0
1422,Around The World,6872,1,209120,0
1423,Around The World,8442,1,209120,0
1424,Around The World,8676,1,209120,0
1425,Around The World,8778,1,209120,0
1426,Around The World,9048,1,209120,0
1427,Around The World,9072,1,209120,0
1428,Around The World,9120,1,209120,0
1429,Around The World,9175,1,209120,0
1431,Around The World,9283,1,209120,0
1432,Around The World,9458,1,209120,0
1433,Around The World,9465,1,209120,0
1434,Around The World,9505,1,209120,0
1435,Around The World,9507,1,209120,0
1436,Around The World,9519,1,209120,0
1437,Around The World,9643,1,209120,0
1438,Around The World,9669,1,209120,0
1439,Around The World,9689,1,209120,0
1440,Around The World,9692,1,209120,0
1441,Around The World,9806,1,209120,0
1443,Around The World,10372,1,209120,0
1445,Around The World,10544,1,209120,0
1446,Around The World,10928,1,209120,0
1447,Around The World,11131,1,209120,0
1448,Around The World,11327,1,209120,0
1449,Around The World,11333,1,209120,0
1450,Around The World,11339,1,209120,0
1451,Around The World,11387,1,209120,0
1452,Around The World,11404,1,209120,0
1453,Around The World,12845,1,209120,0
1454,Around The World,12897,1,209120,0
1455,Around The World,12903,1,209120,0
1457,Around The World,14029,1,209120,0
1459,Around The World,15128,1,209120,0
1460,Around The World,16344,1,209120,0
1461,Around The World,16536,1,209120,0
1462,Around The World,16537,1,209120,0
1463,Around The World,16624,1,209120,0
1464,Around The World,16641,1,209120,0
1465,Around The World,16664,1,209120,0
1466,Around The World,16793,1,209120,0
1480,Roses Are Red - Original Version,741,1,222747,2
